search_strategy_id,search_version,search_line,database,platform,query,fields,controlled_terms,filters,status,execution_mode,notes
SR-PUBMED-A,0.3,A,PubMed/MEDLINE,PubMed,"(((""data harmonization""[tiab] OR ""data harmonisation""[tiab] OR ""retrospective harmonization""[tiab] OR ""retrospective harmonisation""[tiab] OR ""ex post harmonization""[tiab] OR ""ex-post harmonization""[tiab] OR ""ex post harmonisation""[tiab] OR ""ex-post harmonisation""[tiab] OR ""post hoc harmonization""[tiab] OR ""post hoc harmonisation""[tiab] OR ""pooled data harmonization""[tiab] OR ""pooled data harmonisation""[tiab] OR ""individual-level data harmonization""[tiab] OR ""individual-level data harmonisation""[tiab] OR ""variable harmonization""[tiab] OR ""variable harmonisation""[tiab] OR ""survey harmonization""[tiab] OR ""survey harmonisation""[tiab] OR ""questionnaire harmonization""[tiab] OR ""questionnaire harmonisation""[tiab] OR ""semantic harmonization""[tiab] OR ""semantic harmonisation""[tiab] OR ""Data Integration""[Mesh])) AND ((survey*[tiab] OR questionnaire*[tiab] OR cohort*[tiab] OR epidemiolog*[tiab] OR ""population health""[tiab] OR ""health survey""[tiab] OR ""health surveys""[tiab] OR ""patient-reported measure""[tiab] OR ""patient-reported measures""[tiab] OR ""patient reported measure""[tiab] OR ""patient reported measures""[tiab] OR ""cross-national""[tiab] OR ""cross-country""[tiab] OR multicountry[tiab] OR ""multi-country""[tiab] OR ""Surveys and Questionnaires""[Mesh] OR ""Health Surveys""[Mesh] OR ""Epidemiologic Studies""[Mesh] OR ""Patient Reported Outcome Measures""[Mesh])))",Title/Abstract; MeSH,Data Integration; Surveys and Questionnaires; Health Surveys; Epidemiologic Studies; Patient Reported Outcome Measures,None,SYNTAX_CHECKED,API,No date language human or document-type filters
SR-PUBMED-B,0.3,B,PubMed/MEDLINE,PubMed,"(((""measurement equivalence""[tiab] OR ""measurement invariance""[tiab] OR ""construct equivalence""[tiab] OR ""conceptual equivalence""[tiab] OR ""semantic equivalence""[tiab] OR ""functional equivalence""[tiab] OR ""item equivalence""[tiab] OR ""question comparability""[tiab] OR ""questionnaire comparability""[tiab] OR ""cross-survey comparability""[tiab] OR ""cross-cultural comparability""[tiab] OR ""common metric""[tiab] OR ""scale linking""[tiab] OR ""score linking""[tiab] OR ""test equating""[tiab] OR crosswalk*[tiab] OR ""item mapping""[tiab] OR ""variable mapping""[tiab] OR ""construct mapping""[tiab] OR ""anchor item""[tiab] OR ""anchor items""[tiab] OR ""bridging item""[tiab] OR ""bridging items""[tiab] OR ""bridging study""[tiab] OR ""differential item functioning""[tiab] OR ""Psychometrics""[Mesh])) AND ((survey*[tiab] OR questionnaire*[tiab] OR instrument*[tiab] OR scale*[tiab] OR cohort*[tiab] OR ""population health""[tiab] OR ""health status""[tiab] OR ""patient-reported outcome""[tiab] OR ""patient-reported outcomes""[tiab] OR ""patient-reported experience measure""[tiab] OR ""patient-reported experience measures""[tiab] OR ""Surveys and Questionnaires""[Mesh] OR ""Health Surveys""[Mesh] OR ""Patient Reported Outcome Measures""[Mesh])))",Title/Abstract; MeSH,Psychometrics; Surveys and Questionnaires; Health Surveys; Patient Reported Outcome Measures,None,SYNTAX_CHECKED,API,Psychometrics included only with survey or health context
SR-PUBMED-C,0.3,C,PubMed/MEDLINE,PubMed,"(((""harmonization framework""[tiab] OR ""harmonisation framework""[tiab] OR ""harmonization protocol""[tiab] OR ""harmonisation protocol""[tiab] OR ""harmonization workflow""[tiab] OR ""harmonisation workflow""[tiab] OR ""harmonization algorithm""[tiab] OR ""harmonisation algorithm""[tiab] OR ""harmonization pipeline""[tiab] OR ""harmonisation pipeline""[tiab] OR ""harmonization platform""[tiab] OR ""harmonisation platform""[tiab] OR ""common data model""[tiab] OR ""metadata mapping""[tiab] OR ""ontology mapping""[tiab] OR ""schema mapping""[tiab] OR ""data integration framework""[tiab] OR ""Data Integration""[Mesh])) AND ((survey*[tiab] OR questionnaire*[tiab] OR cohort*[tiab] OR epidemiolog*[tiab] OR ""population health""[tiab] OR ""patient-reported measure""[tiab] OR ""patient-reported measures""[tiab] OR ""patient reported measure""[tiab] OR ""patient reported measures""[tiab] OR ""Surveys and Questionnaires""[Mesh] OR ""Health Surveys""[Mesh] OR ""Epidemiologic Studies""[Mesh] OR ""Patient Reported Outcome Measures""[Mesh])))",Title/Abstract; MeSH,Data Integration; Surveys and Questionnaires; Health Surveys; Epidemiologic Studies; Patient Reported Outcome Measures,None,SYNTAX_CHECKED,API,Operational frameworks independent of lines A and B
SR-SCOPUS-A,0.2,A,Scopus,Scopus,"TITLE-ABS-KEY(""data harmonization"" OR ""data harmonisation"" OR ""retrospective harmonization"" OR ""retrospective harmonisation"" OR ""ex post harmonization"" OR ""ex-post harmonization"" OR ""ex post harmonisation"" OR ""ex-post harmonisation"" OR ""post hoc harmonization"" OR ""post hoc harmonisation"" OR ""pooled data harmonization"" OR ""pooled data harmonisation"" OR ""individual-level data harmonization"" OR ""individual-level data harmonisation"" OR ""variable harmonization"" OR ""variable harmonisation"" OR ""survey harmonization"" OR ""survey harmonisation"" OR ""questionnaire harmonization"" OR ""questionnaire harmonisation"" OR ""semantic harmonization"" OR ""semantic harmonisation"") AND TITLE-ABS-KEY(survey* OR questionnaire* OR cohort* OR epidemiolog* OR ""population health"" OR ""health survey"" OR ""health surveys"" OR ""patient-reported measure"" OR ""patient-reported measures"" OR ""patient reported measure"" OR ""patient reported measures"" OR ""cross-national"" OR ""cross-country"" OR multicountry OR ""multi-country"")",TITLE-ABS-KEY,None,None,SYNTAX_CHECKED,API,Offset retrieval; partition if total exceeds 5000
SR-SCOPUS-B,0.2,B,Scopus,Scopus,"TITLE-ABS-KEY(""measurement equivalence"" OR ""measurement invariance"" OR ""construct equivalence"" OR ""conceptual equivalence"" OR ""semantic equivalence"" OR ""functional equivalence"" OR ""item equivalence"" OR ""question comparability"" OR ""questionnaire comparability"" OR ""cross-survey comparability"" OR ""cross-cultural comparability"" OR ""common metric"" OR ""scale linking"" OR ""score linking"" OR ""test equating"" OR crosswalk* OR ""item mapping"" OR ""variable mapping"" OR ""construct mapping"" OR ""anchor item"" OR ""anchor items"" OR ""bridging item"" OR ""bridging items"" OR ""bridging study"" OR ""differential item functioning"") AND TITLE-ABS-KEY(survey* OR questionnaire* OR instrument* OR scale* OR cohort* OR ""population health"" OR ""health status"" OR ""patient-reported outcome"" OR ""patient-reported outcomes"" OR ""patient-reported experience measure"" OR ""patient-reported experience measures"")",TITLE-ABS-KEY,None,None,SYNTAX_CHECKED,API,Do not narrow to title only
SR-SCOPUS-C,0.2,C,Scopus,Scopus,"TITLE-ABS-KEY(""harmonization framework"" OR ""harmonisation framework"" OR ""harmonization protocol"" OR ""harmonisation protocol"" OR ""harmonization workflow"" OR ""harmonisation workflow"" OR ""harmonization algorithm"" OR ""harmonisation algorithm"" OR ""harmonization pipeline"" OR ""harmonisation pipeline"" OR ""harmonization platform"" OR ""harmonisation platform"" OR ""common data model"" OR ""metadata mapping"" OR ""ontology mapping"" OR ""schema mapping"" OR ""data integration framework"") AND TITLE-ABS-KEY(survey* OR questionnaire* OR cohort* OR epidemiolog* OR ""population health"" OR ""patient-reported measure"" OR ""patient-reported measures"" OR ""patient reported measure"" OR ""patient reported measures"")",TITLE-ABS-KEY,None,None,SYNTAX_CHECKED,API,Operational frameworks independent of lines A and B
SR-EMBASE-A,0.2,A,Embase,Embase.com,"('data harmonization':ti,ab,kw OR 'data harmonisation':ti,ab,kw OR 'retrospective harmonization':ti,ab,kw OR 'retrospective harmonisation':ti,ab,kw OR 'ex post harmonization':ti,ab,kw OR 'ex-post harmonization':ti,ab,kw OR 'ex post harmonisation':ti,ab,kw OR 'ex-post harmonisation':ti,ab,kw OR 'post hoc harmonization':ti,ab,kw OR 'post hoc harmonisation':ti,ab,kw OR 'pooled data harmonization':ti,ab,kw OR 'pooled data harmonisation':ti,ab,kw OR 'individual-level data harmonization':ti,ab,kw OR 'individual-level data harmonisation':ti,ab,kw OR 'variable harmonization':ti,ab,kw OR 'variable harmonisation':ti,ab,kw OR 'survey harmonization':ti,ab,kw OR 'survey harmonisation':ti,ab,kw OR 'questionnaire harmonization':ti,ab,kw OR 'questionnaire harmonisation':ti,ab,kw OR 'semantic harmonization':ti,ab,kw OR 'semantic harmonisation':ti,ab,kw) AND (survey*:ti,ab,kw OR questionnaire*:ti,ab,kw OR cohort*:ti,ab,kw OR epidemiolog*:ti,ab,kw OR 'population health':ti,ab,kw OR 'health survey':ti,ab,kw OR 'health surveys':ti,ab,kw OR 'patient-reported measure':ti,ab,kw OR 'patient-reported measures':ti,ab,kw OR 'patient reported measure':ti,ab,kw OR 'patient reported measures':ti,ab,kw OR 'cross-national':ti,ab,kw OR 'cross-country':ti,ab,kw OR multicountry:ti,ab,kw OR 'multi-country':ti,ab,kw)",title; abstract; author keywords,Pending platform verification,None,DRAFT,API,Emtree descriptors not asserted because the licensed thesaurus endpoint is unavailable
SR-EMBASE-B,0.2,B,Embase,Embase.com,"('measurement equivalence':ti,ab,kw OR 'measurement invariance':ti,ab,kw OR 'construct equivalence':ti,ab,kw OR 'conceptual equivalence':ti,ab,kw OR 'semantic equivalence':ti,ab,kw OR 'functional equivalence':ti,ab,kw OR 'item equivalence':ti,ab,kw OR 'question comparability':ti,ab,kw OR 'questionnaire comparability':ti,ab,kw OR 'cross-survey comparability':ti,ab,kw OR 'cross-cultural comparability':ti,ab,kw OR 'common metric':ti,ab,kw OR 'scale linking':ti,ab,kw OR 'score linking':ti,ab,kw OR 'test equating':ti,ab,kw OR crosswalk*:ti,ab,kw OR 'item mapping':ti,ab,kw OR 'variable mapping':ti,ab,kw OR 'construct mapping':ti,ab,kw OR 'anchor item':ti,ab,kw OR 'anchor items':ti,ab,kw OR 'bridging item':ti,ab,kw OR 'bridging items':ti,ab,kw OR 'bridging study':ti,ab,kw OR 'differential item functioning':ti,ab,kw) AND (survey*:ti,ab,kw OR questionnaire*:ti,ab,kw OR instrument*:ti,ab,kw OR scale*:ti,ab,kw OR cohort*:ti,ab,kw OR 'population health':ti,ab,kw OR 'health status':ti,ab,kw OR 'patient-reported outcome':ti,ab,kw OR 'patient-reported outcomes':ti,ab,kw OR 'patient-reported experience measure':ti,ab,kw OR 'patient-reported experience measures':ti,ab,kw)",title; abstract; author keywords,Pending platform verification,None,DRAFT,API,Controlled terms require authorised Embase.com verification
SR-EMBASE-C,0.2,C,Embase,Embase.com,"('harmonization framework':ti,ab,kw OR 'harmonisation framework':ti,ab,kw OR 'harmonization protocol':ti,ab,kw OR 'harmonisation protocol':ti,ab,kw OR 'harmonization workflow':ti,ab,kw OR 'harmonisation workflow':ti,ab,kw OR 'harmonization algorithm':ti,ab,kw OR 'harmonisation algorithm':ti,ab,kw OR 'harmonization pipeline':ti,ab,kw OR 'harmonisation pipeline':ti,ab,kw OR 'harmonization platform':ti,ab,kw OR 'harmonisation platform':ti,ab,kw OR 'common data model':ti,ab,kw OR 'metadata mapping':ti,ab,kw OR 'ontology mapping':ti,ab,kw OR 'schema mapping':ti,ab,kw OR 'data integration framework':ti,ab,kw) AND (survey*:ti,ab,kw OR questionnaire*:ti,ab,kw OR cohort*:ti,ab,kw OR epidemiolog*:ti,ab,kw OR 'population health':ti,ab,kw OR 'patient-reported measure':ti,ab,kw OR 'patient-reported measures':ti,ab,kw OR 'patient reported measure':ti,ab,kw OR 'patient reported measures':ti,ab,kw)",title; abstract; author keywords,Pending platform verification,None,DRAFT,API,Controlled terms require authorised Embase.com verification
SR-PSYCINFO-A,0.3,A,APA PsycINFO,EBSCOhost,"(TI (""data harmonization"" OR ""data harmonisation"" OR ""retrospective harmonization"" OR ""retrospective harmonisation"" OR ""ex post harmonization"" OR ""ex-post harmonization"" OR ""ex post harmonisation"" OR ""ex-post harmonisation"" OR ""post hoc harmonization"" OR ""post hoc harmonisation"" OR ""pooled data harmonization"" OR ""pooled data harmonisation"" OR ""individual-level data harmonization"" OR ""individual-level data harmonisation"" OR ""variable harmonization"" OR ""variable harmonisation"" OR ""survey harmonization"" OR ""survey harmonisation"" OR ""questionnaire harmonization"" OR ""questionnaire harmonisation"" OR ""semantic harmonization"" OR ""semantic harmonisation"") OR AB (""data harmonization"" OR ""data harmonisation"" OR ""retrospective harmonization"" OR ""retrospective harmonisation"" OR ""ex post harmonization"" OR ""ex-post harmonization"" OR ""ex post harmonisation"" OR ""ex-post harmonisation"" OR ""post hoc harmonization"" OR ""post hoc harmonisation"" OR ""pooled data harmonization"" OR ""pooled data harmonisation"" OR ""individual-level data harmonization"" OR ""individual-level data harmonisation"" OR ""variable harmonization"" OR ""variable harmonisation"" OR ""survey harmonization"" OR ""survey harmonisation"" OR ""questionnaire harmonization"" OR ""questionnaire harmonisation"" OR ""semantic harmonization"" OR ""semantic harmonisation"") OR KW (""data harmonization"" OR ""data harmonisation"" OR ""retrospective harmonization"" OR ""retrospective harmonisation"" OR ""ex post harmonization"" OR ""ex-post harmonization"" OR ""ex post harmonisation"" OR ""ex-post harmonisation"" OR ""post hoc harmonization"" OR ""post hoc harmonisation"" OR ""pooled data harmonization"" OR ""pooled data harmonisation"" OR ""individual-level data harmonization"" OR ""individual-level data harmonisation"" OR ""variable harmonization"" OR ""variable harmonisation"" OR ""survey harmonization"" OR ""survey harmonisation"" OR ""questionnaire harmonization"" OR ""questionnaire harmonisation"" OR ""semantic harmonization"" OR ""semantic harmonisation"")) AND (TI (survey* OR questionnaire* OR cohort* OR epidemiolog* OR ""population health"" OR ""health survey"" OR ""health surveys"" OR ""patient-reported measure"" OR ""patient-reported measures"" OR ""patient reported measure"" OR ""patient reported measures"" OR ""cross-national"" OR ""cross-country"" OR multicountry OR ""multi-country"") OR AB (survey* OR questionnaire* OR cohort* OR epidemiolog* OR ""population health"" OR ""health survey"" OR ""health surveys"" OR ""patient-reported measure"" OR ""patient-reported measures"" OR ""patient reported measure"" OR ""patient reported measures"" OR ""cross-national"" OR ""cross-country"" OR multicountry OR ""multi-country"") OR KW (survey* OR questionnaire* OR cohort* OR epidemiolog* OR ""population health"" OR ""health survey"" OR ""health surveys"" OR ""patient-reported measure"" OR ""patient-reported measures"" OR ""patient reported measure"" OR ""patient reported measures"" OR ""cross-national"" OR ""cross-country"" OR multicountry OR ""multi-country""))",TI; AB; KW,APA Thesaurus headings pending in-platform verification,None,DRAFT,MANUAL,EBSCOhost syntax prepared; validate field codes and APA Thesaurus headings in the subscribed interface
