decision_id,date,scope,entity_id,question,decision,rationale,evidence,decided_by,status,supersedes
DEC-2026-001,2026-08-24,PROJECT,PRE_OECD_WORKSTREAMS,Should the previous screening and broad harmonisation workflows continue?,Pause R2 LLM execution broad mapping and unrelated web development,"The investigator changed the project scope after identifying a directly overlapping OECD report","OECD 2026 DOI 10.1787/acf46da9-en; user instruction 2026-08-24",JALR,APPROVED,
DEC-2026-002,2026-08-24,PROTOCOL,PROTOCOL_V0_2,What contribution remains original after OECD 2026?,Prioritise independent replication and robustness analysis of the PaRIS-EHIS comparison,"The official report already performs the general comparison; reproducibility and decision sensitivity remain scientifically relevant","documentation/protocol/sources/oecd-2026-comparison-assessment.md; documentation/protocol/archive/protocol-v0.2.md",Codex,PROPOSED,
DEC-2026-003,2026-08-24,PROTOCOL,PROTOCOL_V0_3,What should be the primary contribution after OECD 2026?,Develop and evaluate a reproducible multisource retrospective harmonisation framework with PaRIS as index and EHIS as the MVP comparator,"OECD 2026 removes novelty from a simple crosswalk but leaves reproducible implementation formal DataSchema algorithms equivalence and transportability unresolved","user methodological brief 2026-08-24; documentation/protocol/protocol.md",JALR,PROPOSED,DEC-2026-002
DEC-2026-004,2026-08-24,PROJECT,SURVEY_TIERS,How should surveys enter the framework?,Use PaRIS and EHIS as core SHARE and IHP as priority extensions and CCHS EU-SILC MEPS HRS BRFSS and PVS only for justified validation or extensions,"A phased design controls scope and matches each source to domains where it can add information","documentation/inventories/survey-inventory.csv",JALR,PROPOSED,
DEC-2026-005,2026-08-24,REVIEW,WP1_SCOPING_REVIEW,What evidence synthesis should ground the framework?,Make a systematic scoping review following JBI and PRISMA-ScR the first work package,"The existing narrative search is valuable but cannot establish systematic coverage under the revised question","research/scoping-review/protocol.md; research/scoping-review/search-strategy-audit.md",JALR,PROPOSED,
DEC-2026-006,2026-08-24,METHOD,MAELSTROM_FRAMEWORK,Which process framework should govern harmonisation?,Adopt Maelstrom Research as the primary process framework while retaining project-specific controlled vocabularies,"Maelstrom separates study selection DataSchema potential processing quality and dissemination","documentation/methods/maelstrom-alignment.md",JALR,PROPOSED,
DEC-2026-007,2026-08-24,METHOD,SEPARATION_OF_LAYERS,Can generation and empirical similarity establish equivalence?,Separate conceptual harmonisation technical generation and empirical comparability and never infer equivalence from names wording alone or distributions,"Each layer answers a different validity question and empirical similarity cannot repair construct mismatch","documentation/methods/data-model.md; AGENTS.md",JALR,PROPOSED,
DEC-2026-008,2026-08-24,ANALYSIS,TWO_STAGE_DESIGN,How should multisource analyses be estimated?,Estimate within each survey and country under its own design before comparing or synthesising estimates,"Pooling observations as one sample would erase provenance design and population differences","documentation/protocol/protocol.md",JALR,PROPOSED,
DEC-2026-009,2026-08-24,SCOPE,MINIMUM_VIABLE_PRODUCT,How should scalability be demonstrated?,Complete a PaRIS-EHIS minimum viable product before adding surveys,"A validated process is more informative and feasible than immediate broad but shallow coverage","documentation/planning/work-packages.csv",JALR,PROPOSED,
DEC-2026-010,2026-08-25,REVIEW,SEARCH_ARCHITECTURE,How should the methodological search represent distinct evidence routes?,Run lines A explicit retrospective harmonisation B construct and measurement comparability and C operational frameworks independently and combine only after retrieval,"Requiring all three concepts in one query would systematically miss transferable methods","research/scoping-review/protocol.md; research/scoping-review/strategies/search-strategies-v0.2.csv",Codex,PROPOSED,
