source_variable_id,source_id,survey,cycle,original_name,population_asked,variable_type,variable_label,answer_values_and_codes,missing_n,missing_pct,distinct_n,min,max,example,country_specific_notes,codebook_name,codebook_label,codebook_variable_type,codebook_remarks,codebook_match_status,source_document,source_sheet,dictionary_source_row,codebook_source_row,review_status
SRC-PARIS-C1-PATIENT_SERIAL,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Patient_serial,ASK ALL,character,Unique patient pseudonomised ID,,0,0,82275,,,4BE125919PUF202605288360,,Patient_serial,Unique patient pseudonomised ID,String,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,2,2,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-PRACTICE_SERIAL,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Practice_serial,ASK ALL,factor,Unique practice pseudonomised ID,3AU10016; 3AU10026; 3AU10038; 3AU10075; 3AU10132; 3AU10150; 3AU10169; 3AU10211; 3AU10267; 3AU10356; 3AU10371; 3AU10708; 3AU10711; 3AU10811; 3AU10882; 3AU10974; 3AU10995; 3AU11064; 3AU11140; 3AU11154; 3AU11161; 3AU11173; 3AU11230; 3AU11415; 3AU11492; 3AU11709; 3AU11744; 3AU11758; 3BE12599; 3BE12600; 3BE12617; 3BE12624; 3BE12634; 3BE12655; 3BE12671; 3BE12708; 3BE12716; 3BE12741; 3BE12752; 3BE12761; 3BE12776; 3BE12792; 3BE12806; 3BE12810; 3BE12821; 3BE12839; 3BE12843; 3BE12855; 3BE12878; 3BE12886 … (+1557 more),0,0,1221,,,3BE12599,,Practice_serial,Unique practice pseudonomised ID,String,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,3,4,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-COUNTRY,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Country,ASK ALL,numeric,Country survey completed in,Australia = 1; Belgium = 2; Canada = 3; Czechia = 4; France = 5; Greece = 6; Iceland = 7; Italy = 8; Luxembourg = 9; Netherlands = 10; Norway = 11; Portugal = 12; Romania = 13; Saudi Arabia = 14; Slovenia = 15; Spain = 16; Switzerland = 17; USA = 18; Wales = 19,0,0,15,2,19,2,,Country,Country survey completed in,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,4,6,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-DATACOLLECTION_STARTTIME,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,DataCollection_StartTime,ASK ALL,datetime,Month and year interview started - reference set to first of the month,,22548,27.41,12,2023-05-01,2024-04-01,2023-09-01,,DataCollection_StartTime,Date interview started,double,Collapsed to month/year,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,5,27,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-DATACOLLECTION_FINISHTIME,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,DataCollection_FinishTime,ASK ALL,datetime,Month and year interview finished - reference set to first of the month,,22583,27.45,12,2023-05-01,2024-04-01,2023-09-01,,DataCollection_FinishTime,Date interview finished,double,Collapsed to month/year,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,6,29,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_GLOBAL01,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,q_global01,ASK ALL,numeric,"In general, would you say your health is:",Not answered = -97; Multiple answers = -96; Question not asked = -95; Excellent = 1; Very good = 2; Good = 3; Fair = 4; Poor = 5; NA = 6,305,0.37,5,1,5,4,,q_global01,"In general, would you say your health is:",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,7,32,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_GLOBAL02,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,q_global02,ASK ALL,numeric,"In general, would you say your quality of life is:",Not answered = -97; Multiple answers = -96; Question not asked = -95; Excellent = 1; Very good = 2; Good = 3; Fair = 4; Poor = 5; NA = 6,398,0.48,5,1,5,3,,q_global02,"In general, would you say your quality of life is:",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,8,43,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_GLOBAL03,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,q_global03,ASK ALL,numeric,"In general, how would you rate your physical health?",Not answered = -97; Multiple answers = -96; Question not asked = -95; Excellent = 1; Very good = 2; Good = 3; Fair = 4; Poor = 5; NA = 6,478,0.57999999999999996,5,1,5,5,,q_global03,"In general, how would you rate your physical health?",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,9,54,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_GLOBAL04,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,q_global04,ASK ALL,numeric,"In general, how would you rate your mental health, including your mood and your ability to think?",Not answered = -97; Multiple answers = -96; Question not asked = -95; Excellent = 1; Very good = 2; Good = 3; Fair = 4; Poor = 5; NA = 6,573,0.7,5,1,5,1,,q_global04,"In general, how would you rate your mental health, including your mood and your ability to think?",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,10,65,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_GLOBAL05,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,q_global05,ASK ALL,numeric,"In general, how would you rate your satisfaction with your social activities and relationships?",Not answered = -97; Multiple answers = -96; Question not asked = -95; Excellent = 1; Very good = 2; Good = 3; Fair = 4; Poor = 5; NA = 6,737,0.9,5,1,5,1,,q_global05,"In general, how would you rate your satisfaction with your social activities and relationships?",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,11,76,EXTRACTED_UNREVIEWED
