survey_id,survey_name,tier,proposed_role,candidate_wave_or_year,target_population,geographic_scope,priority_domains,microdata_access_status,documentation_status,design_variables_status,local_material_status,legal_review_status,official_source,inclusion_status,notes
PARIS-C1,OECD Patient-Reported Indicator Surveys,CORE,Index survey,Cycle 1 2023-2024,People aged 45+ with recent primary-care contact,International,"PROMs; PREMs; multimorbidity; capabilities; primary care",PENDING_CONFIRMATION,PARTIAL_LOCAL,REQUIRES_INVENTORY,CODEBOOK_LOCAL,REQUIRES_REVIEW,https://www.oecd.org/en/data/datasets/paris-public-use-files.html,PROPOSED,PUF access and exact country files must be inventoried before analysis
EHIS-W3,European Health Interview Survey,CORE,First comparator,Wave 3 2019 with documented national field periods,People aged 15+ in private households,Europe,"health status; chronic conditions; functioning; mental health; utilisation; access; socioeconomic position",PENDING_CONFIRMATION,PARTIAL_LOCAL,REQUIRES_INVENTORY,ANONYMISATION_RULES_LOCAL,REQUIRES_REVIEW,https://ec.europa.eu/eurostat/web/microdata/european-health-interview-survey,PROPOSED,Scientific-use files and country-specific design variables must be verified
SHARE,Survey of Health Ageing and Retirement in Europe,PRIORITY_EXTENSION,Priority PROM and ageing comparator,WAVE_PENDING,Adults aged 50+ and partners subject to wave rules,Europe,"health; functioning; mental health; multimorbidity; socioeconomic position",NOT_ASSESSED,OFFICIAL_DOCUMENTATION_IDENTIFIED,NOT_ASSESSED,NOT_INVENTORIED,NOT_ASSESSED,https://share-eric.eu/data/data-documentation,PENDING,Select wave only after overlap and documentation assessment
IHP,Commonwealth Fund International Health Policy Survey,PRIORITY_EXTENSION,Priority PREM and primary-care comparator,YEAR_AND_POPULATION_PENDING,Population varies by annual survey,Selected high-income countries,"PREMs; access; continuity; coordination; primary care",NOT_ASSESSED,OFFICIAL_DOCUMENTATION_IDENTIFIED,NOT_ASSESSED,NOT_INVENTORIED,NOT_ASSESSED,https://www.commonwealthfund.org/publications/surveys/2025/apr/access-quality-care-older-adults-10-countries-2024-survey,PENDING,The official 2024 older-adult survey is a candidate but the series year and population cannot be assumed
CCHS,Canadian Community Health Survey,VALIDATION_EXTENSION,Canada-specific population-health validation,CYCLE_PENDING,Household population aged 12+ subject to cycle exclusions,Canada,"health; behaviours; chronic conditions; healthcare use; socioeconomic position",NOT_ASSESSED,OFFICIAL_DOCUMENTATION_IDENTIFIED,NOT_ASSESSED,NOT_INVENTORIED,NOT_ASSESSED,https://www.statcan.gc.ca/en/survey/household/3226,PENDING,Include only for a defined validation question
EU-SILC,European Union Statistics on Income and Living Conditions,VALIDATION_EXTENSION,Socioeconomic inequality and minimum health module,YEAR_PENDING,People in private households subject to release rules,Europe,"socioeconomic position; self-perceived health; chronic morbidity; limitation; unmet need",NOT_ASSESSED,OFFICIAL_DOCUMENTATION_IDENTIFIED,NOT_ASSESSED,NOT_INVENTORIED,NOT_ASSESSED,https://ec.europa.eu/eurostat/cache/metadata/en/hlth_silc_01_esms.htm,PENDING,Small health module but strong socioeconomic context
MEPS,Medical Expenditure Panel Survey,VALIDATION_EXTENSION,Utilisation expenditure and access extension,YEAR_PENDING,US civilian noninstitutionalised population subject to panel rules,United States,"utilisation; access; expenditure; insurance; health",NOT_ASSESSED,OFFICIAL_DOCUMENTATION_IDENTIFIED,NOT_ASSESSED,NOT_INVENTORIED,NOT_ASSESSED,https://meps.ahrq.gov/mepsweb/data_stats/download_data_files.jsp,PENDING,Panel and event-file structure requires separate feasibility assessment
HRS,Health and Retirement Study,VALIDATION_EXTENSION,Ageing and longitudinal construct validation,WAVE_PENDING,Older US adults subject to wave eligibility,United States,"health; functioning; mental health; multimorbidity; socioeconomic position; utilisation",NOT_ASSESSED,OFFICIAL_DOCUMENTATION_IDENTIFIED,NOT_ASSESSED,NOT_INVENTORIED,NOT_ASSESSED,https://hrs.isr.umich.edu/data-products,PENDING,Longitudinal design is not interchangeable with cross-sectional sources
BRFSS,Behavioral Risk Factor Surveillance System,VALIDATION_EXTENSION,Large-sample behavioural and state-level validation,YEAR_PENDING,US adult residents reached by telephone subject to annual rules,United States,"health; behaviours; chronic conditions; access",NOT_ASSESSED,OFFICIAL_DOCUMENTATION_IDENTIFIED,NOT_ASSESSED,NOT_INVENTORIED,NOT_ASSESSED,https://www.cdc.gov/brfss/annual_data/annual_data.htm,PENDING,Optional modules and state participation vary by year
PVS,People's Voice Survey,VALIDATION_EXTENSION,PREM and health-system external validation,WAVE_PENDING,Adults subject to country implementation,International,"PREMs; access; primary care; system confidence",NOT_ASSESSED,OFFICIAL_DOCUMENTATION_IDENTIFIED,NOT_ASSESSED,NOT_INVENTORIED,NOT_ASSESSED,https://www.questnetwork.org/our-work/peoples-voice-survey,PENDING,Country waves modes and access must be inventoried
